#magnetic_v,magnetic_x,magnetic_y,magnetic_z
46.79715,34.26,5.94,-31.32
46.13859,34.26,4.32,-30.6
45.52122,35.64,3.18,-28.14
42.45173,33,-1.86,-26.64
40.96062,30.24,-3.84,-27.36
38.50771,27.54,-2.88,-26.76
38.60668,26.16,-0.84,-28.38
39.4179,24.3,1.02,-31.02
39.44907,22.86,1.8,-32.1
41.0713,21.18,4.8,-34.86
41.51176,21.66,5.52,-34.98
42.61242,22.32,2.94,-36.18
43.43395,22.44,4.62,-36.9
42.72076,23.76,5.34,-35.1
40.33187,23.82,7.2,-31.74
37.99369,22.86,5.94,-29.76
39.38478,22.2,8.58,-31.38
40.25821,23.7,8.4,-31.44
42.4538,27.06,9.24,-31.38
45.20887,29.82,8.1,-33
48.68644,32.64,7.2,-35.4
50.4559,32.04,7.02,-38.34
50.51683,31.26,6.3,-39.18
51.33157,31.56,5.7,-40.08
49.60897,31.8,6.6,-37.5
47.97528,31.68,7.86,-35.16
43.9191,27.9,9.84,-32.46
40.55672,25.74,10.86,-29.4
40.95803,27.6,10.98,-28.2
40.58546,28.44,9.3,-27.42
43.47955,30.54,8.7,-29.7
46.96731,33.42,8.82,-31.8
48.76789,36.24,3.9,-32.4
49.79074,37.8,0.72,-32.4
44.25194,31.92,-2.58,-30.54
38.29133,26.04,-3.12,-27.9
32.43143,19.14,-3.24,-25.98
29.29948,16.98,-3.36,-23.64
26.87344,13.62,0.54,-23.16
28.84615,12.9,6.3,-25.02
32.01533,14.7,11.16,-26.16
34.65451,19.02,10.8,-26.88
36.21028,20.64,9.66,-28.14
35.31901,20.52,8.82,-27.36
35.36368,20.64,10.26,-26.82
37.68621,22.08,11.58,-28.26
37.87901,23.64,13.14,-26.52
35.04385,24.3,11.46,-22.5
34.80548,25.74,10.14,-21.12
36.08375,27.96,8.16,-21.3
34.65741,26.64,10.32,-19.62
33.84154,25.74,10.68,-19.2
34.55224,26.82,10.62,-19.02
36.55773,29.76,10.56,-18.42
35.45106,29.7,6.48,-18.24
34.43587,28.56,3.9,-18.84
33.0411,26.82,4.92,-18.66
33.53404,25.74,5.1,-20.88
29.77167,20.64,3.78,-21.12
32.41139,20.16,7.32,-24.3
35.23962,24.12,10.2,-23.58
37.49544,27.36,9.78,-23.7
38.89041,28.5,11.4,-23.88
42.95267,33.96,11.4,-23.7
48.74179,39.18,13.8,-25.5
50.8105,40.56,12.84,-27.78
52.7529,42.18,7.98,-30.66
53.53463,42.3,3.9,-32.58
51.65223,37.68,4.02,-35.1
45.62727,31.14,4.38,-33.06
45.06839,30.18,5.94,-32.94
46.67715,30.24,11.1,-33.78
46.48223,32.22,12.36,-31.14
49.21028,37.68,15.06,-27.84
54.50444,44.88,17.76,-25.32
48.75339,39.24,12.36,-26.16
48.27491,36.24,12.36,-29.4
51.11528,37.86,13.68,-31.5
52.63536,39.66,14.46,-31.44
52.77033,40.8,16.74,-28.98
53.41281,42.24,17.52,-27.6
58.08861,50.1,15.24,-25.14
53.24499,46.44,7.44,-24.96
51.13679,42.24,9.42,-27.24
53.24675,44.16,9.48,-28.2
54.08873,42.48,9.72,-32.04
52.89421,39.96,7.74,-33.78
54.00037,40.86,7.5,-34.5
55.28175,42.54,1.32,-35.28
55.08212,43.26,-1.08,-34.08
