#Magnet V,Magnet X,Magnet Y,Magnet Z,Position
49.96221293,35.11170732,1.002439024,-35.52439024,0
49.33053633,37.33102041,1.399591837,-32.20897959,1
50.09170217,38.94130435,-0.533478261,-31.48695652,2
45.8089875,35.99318182,-3.081818182,-28.16045455,3
44.63972791,32.72232558,-8.012093023,-29.28139535,4
40.42778867,29.12,-6.337333333,-27.31066667,5
40.84934932,27.92045455,-4.015909091,-29.53909091,6
40.34727729,26.46125,-1.545,-30.4075,7
41.93196705,26.13272727,0.133636364,-32.78454545,8
44.86743556,26.416,2.004,-36.20266667,9
42.87685318,24.56318182,3.233181818,-34.98681818,10
44.43221889,25.24266667,1.970666667,-36.504,11
44.88376905,26.09857143,1.595714286,-36.47428571,12
44.38473217,28.03043478,2.003478261,-34.34869565,13
44.80678089,29.024,2.830666667,-34.01066667,14
38.99535841,25.50545455,3.916363636,-29.22954545,15
40.68541727,26.22545455,3.482727273,-30.9,16
41.90636364,27.62454545,4.386818182,-31.19727273,17
45.84049957,31.6526087,4.477826087,-32.84608696,18
46.85761522,32.71565217,4.498695652,-33.23086957,19
52.1616693,36.40744186,3.665581395,-37.16790698,20
51.55323522,35.66869565,5.525217391,-36.79565217,21
55.37877628,36.73395349,2.35255814,-41.36511628,22
52.59051511,34.17333333,1.973333333,-39.92,23
51.55940311,34.94,1.870666667,-37.86266667,24
49.04835136,34.52590909,3.047727273,-34.695,25
45.02476881,30.76428571,6.765714286,-32.16428571,26
42.57728405,29.42571429,8.474285714,-29.57428571,27
40.96834356,29.47466667,7.796,-27.356,28
41.79249386,31.93363636,5.267727273,-26.42590909,29
45.04368913,33.75391304,5.107826087,-29.37391304,30
48.99964644,36.888,3.050666667,-32.09733333,31
51.47257609,39.33782609,0.73826087,-33.1826087,32
52.82847979,40.1987234,-3.47106383,-34.09276596,33
46.09360383,33.83361702,-6.52212766,-30.61021277,34
40.20794795,27.95045455,-6.385909091,-28.18363636,35
33.32122244,20.492,-6.786666667,-25.37466667,36
30.56050762,18.62571429,-6.587142857,-23.30714286,37
30.08215953,16.98697674,-3.142325581,-24.61534884,38
29.83898857,15.33571429,4.635714286,-25.16571429,39
32.9599078,15.71560976,8.667804878,-27.62926829,40
37.25519067,22.484,7.989333333,-28.588,41
39.29568523,25.71818182,7.423636364,-28.74818182,42
36.95762364,24.48,7.834090909,-26.53909091,43
37.67523512,24.36878049,9.310243902,-27.1697561,44
38.45601786,25.40285714,10.51714286,-26.88142857,45
40.343584,27.84,10.908,-27.068,46
37.09013511,27.17333333,9.98,-23.18,47
36.17632614,28.34181818,7.92,-21.03409091,48
36.54966356,28.92533333,6.82,-21.256,49
35.05630073,27.82097561,8.793658537,-19.41219512,50
33.6608719,26.96857143,8.462857143,-18.25428571,51
35.92005186,29.48232558,8.741860465,-18.55116279,52
37.70897925,32.3265,7.05,-18.0765,53
38.36660575,33.2295,3.3285,-18.858,54
35.64640791,30.61813953,1.848837209,-18.13953488,55
34.87881119,29.19428571,2.501428571,-18.90285714,56
36.99302628,29.31906977,0.671162791,-22.53209302,57
33.15078791,24.68372093,1.124651163,-22.08139535,58
33.38650209,23.21162791,5.711162791,-23.29813953,59
37.65277065,27.83086957,7.75173913,-24.12652174,60
38.17235357,29.72142857,7.515714286,-22.73285714,61
41.14190476,32.22571429,8.242857143,-24.19142857,62
43.36743326,36.55674419,8.610697674,-21.67534884,63
49.34062977,41.91,12.16090909,-23.01409091,64
52.88434488,44.22837209,8.393023256,-27.72837209,65
53.40290116,44.74186047,3.676744186,-28.91581395,66
57.55286442,46.44837209,1.031162791,-33.96,67
54.07395535,40.9772093,1.300465116,-35.24511628,68
45.92736386,33.10772727,2.121818182,-31.755,69
46.65088429,33.41510204,3.353877551,-32.36816327,70
48.12601476,34.60571429,7.787142857,-32.50714286,71
48.6357861,35.93121951,10.73560976,-30.9395122,72
51.3251925,41.88818182,11.10272727,-27.46636364,73
53.77680978,46.41066667,13.91733333,-23.32,74
47.98361512,41.72651163,8.074883721,-22.25162791,75
48.35349674,38.5227907,10.53627907,-27.24697674,76
52.23437956,41.13333333,11.54266667,-30.048,77
53.16474295,43.43863636,10.82318182,-28.67045455,78
54.14330455,45.06272727,13.25318182,-26.90590909,79
55.72851442,47.42093023,15.31395349,-24.90697674,80
57.68285568,52.03909091,10.8,-22.40863636,81
55.7244114,49.39395349,4.78744186,-25.33255814,82
52.59746614,44.85272727,7.344545455,-26.45863636,83
54.19697959,46.18653061,8.250612245,-27.11020408,84
53.8589437,44.52782609,5.008695652,-29.87217391,85
55.09333756,43.90933333,3.672,-33.06,86
54.855535,43.58727273,4.081363636,-33.04909091,87
56.71737512,45.21906977,-2.317674419,-34.14976744,88
59.55071326,48.06130435,-7.009565217,-34.44652174,89
