#Magnet V,Magnet X,Magnet Y,Magnet Z,Position
51.06965,35.22,-2.46,-36.9,0
49.43774,37.74,-4.02,-31.68,1
48.27648,39.12,-5.34,-27.78,2
46.21184,37.68,-8.64,-25.32,3
44.27841,34.8,-12.84,-24.18,4
42.79632,32.76,-11.76,-24.9,5
41.97007,31.14,-8.7,-26.76,6
42.25218,28.98,-6.18,-30.12,7
42.56162,27.48,-6.12,-31.92,8
43.5987,26.4,-4.68,-34.38,9
42.62488,26.04,-4.68,-33.42,10
44.33188,26.52,-6.84,-34.86,11
45.18689,27.66,-4.86,-35.4,12
44.16138,27.78,-3.6,-34.14,13
42.384,28.14,-0.96,-31.68,14
40.31402,28.98,-2.64,-27.9,15
41.49385,28.44,-1.44,-30.18,16
43.02443,30.06,-0.3,-30.78,17
44.08338,32.16,-2.34,-30.06,18
47.55468,35.4,-2.16,-31.68,19
49.8526,35.76,-3.48,-34.56,20
53.169,38.58,-3.48,-36.42,21
53.50254,36.3,-5.76,-38.88,22
53.11003,35.22,-6.36,-39.24,23
51.76348,36.42,-5.16,-36.42,24
50.59921,35.58,-2.64,-35.88,25
45.94566,31.98,1.8,-32.94,26
43.39568,31.02,3.18,-30.18,27
41.54475,30.66,0.9,-28.02,28
42.66253,32.82,0.96,-27.24,29
45.43692,34.56,-2.4,-29.4,30
50.38046,38.76,-4.56,-31.86,31
52.39309,40.38,-7.8,-32.46,32
52.22668,40.08,-12.9,-30.9,33
47.53931,35.58,-14.1,-28.2,34
41.65716,30.12,-12.12,-26.1,35
35.7838,24,-12.3,-23.52,36
32.35936,20.28,-14.4,-20.7,37
30.57405,18.18,-9.9,-22.5,38
32.20016,16.86,-3.72,-27.18,39
33.05662,17.82,1.86,-27.78,40
36.63603,21.24,3.54,-29.64,41
39.06041,24.42,3.36,-30.3,42
37.14426,25.32,2.52,-27.06,43
37.40099,25.92,3.3,-26.76,44
39.51413,26.7,3.48,-28.92,45
40.20273,28.14,5.4,-28.2,46
38.79477,29.4,5.16,-24.78,47
39.05027,31.98,3.06,-22.2,48
38.77189,32.16,1.56,-21.6,49
39.85179,33.12,2.52,-22.02,50
35.99295,30.54,3.18,-18.78,51
38.32991,32.88,4.14,-19.26,52
40.22636,35.52,2.46,-18.72,53
39.53636,35.28,-1.74,-17.76,54
38.64065,33.96,-2.22,-18.3,55
38.03839,32.7,-3.36,-19.14,56
37.31686,31.02,-3.42,-20.46,57
33.59169,26.46,-3.48,-20.4,58
35.16374,26.22,-1.2,-23.4,59
38.13381,28.68,2.94,-24.96,60
40.27962,32.4,1.56,-23.88,61
41.50846,33.78,0.3,-24.12,62
45.21644,39.12,2.28,-22.56,63
50.4286,43.44,6,-24.9,64
52.53595,45.3,1.2,-26.58,65
55.88481,47.82,-1.86,-28.86,66
57.1014,47.7,-7.5,-30.48,67
54.77211,43.38,-5.4,-33,68
48.40818,35.7,-3.9,-32.46,69
47.80008,34.92,-3.96,-32.4,70
48.11869,35.22,-1.32,-32.76,71
48.23903,36.36,4.5,-31.38,72
50.68803,41.16,5.64,-29.04,73
56.82358,49.14,8.1,-27.36,74
53.18451,45.96,3.6,-26.52,75
50.83902,41.04,1.98,-29.94,76
54.55795,42.3,4.2,-34.2,77
54.5966,44.4,3.66,-31.56,78
55.20795,45.12,7.32,-30.96,79
56.25421,46.92,11.1,-28.98,80
61.5232,54.42,7.2,-27.78,81
57.51497,51.12,-0.96,-26.34,82
55.18764,47.04,-0.12,-28.86,83
56.55343,48.3,1.02,-29.4,84
57.30509,48.06,-2.1,-31.14,85
57.34095,45.72,-3.96,-34.38,86
56.11979,44.58,-0.78,-34.08,87
58.39486,47.82,-8.34,-32.46,88
59.73982,49.14,-9.42,-32.64,89
