#magnetic_v,magnetic_x,magnetic_y,magnetic_z
47.96128,30.6,-10.92,-35.28
46.18648,34.68,-12.6,-27.78
45.77469,36.3,-13.68,-24.3
43.99539,34.32,-14.4,-23.46
40.68234,30.9,-20.64,-16.56
39.36265,29.1,-20.1,-17.28
37.4831,26.16,-21.36,-16.26
37.93144,24.96,-20.7,-19.68
36.20069,22.5,-19.32,-20.76
37.30577,21.48,-23.7,-19.2
40.02036,23.16,-23.7,-22.44
40.59677,23.34,-24.6,-22.32
42.03551,25.68,-25.62,-21.24
41.55839,25.56,-25.5,-20.58
39.81528,27.12,-20.94,-20.28
37.05314,25.98,-16.86,-20.34
39.58386,26.58,-15.6,-24.84
39.36311,27.84,-18.12,-21.12
41.13362,30.42,-18.72,-20.4
43.62338,31.14,-21.3,-21.9
47.52019,33.54,-25.92,-21.48
48.56332,34.26,-26.7,-21.72
50.54696,32.46,-32.64,-20.88
49.76966,33.12,-27.24,-25.26
49.6925,33.96,-25.98,-25.32
48.0135,35.64,-23.4,-22.08
43.4036,31.62,-23.1,-18.72
39.86701,30.6,-20.1,-15.78
39.04327,28.86,-20.76,-16.14
39.39022,28.08,-25.08,-11.58
43.48113,32.76,-23.22,-16.68
46.44523,33.54,-28.38,-15.06
47.78027,30.78,-35.04,-10.38
47.60931,32.28,-33.72,-9.36
43.41053,26.28,-33.66,-7.8
38.04118,23.22,-29.04,-8.04
32.7868,18.6,-23.88,-12.6
29.47881,15.18,-23.52,-9.24
27.68452,15.18,-19.5,-12.48
28.23017,15,-18.48,-15.18
30.73839,20.34,-16.74,-15.84
34.28043,22.38,-16.44,-20.1
34.58192,24.48,-18.12,-16.38
35.02818,24.54,-18.06,-17.28
34.34443,24.78,-18,-15.54
36.27788,26.82,-19.14,-15.18
36.98614,29.16,-14.94,-17.16
36.64158,29.34,-16.08,-14.94
35.35507,29.76,-15.9,-10.56
36.09562,30.54,-17.1,-8.82
37.00843,31.38,-13.26,-14.46
34.64806,28.98,-14.52,-12.24
35.69007,29.76,-18.84,-5.76
36.87287,32.58,-16.32,-5.64
36.68748,32.28,-16.86,-4.44
33.9189,29.16,-15.84,-7.02
34.15497,28.8,-14.58,-11.16
34.12676,27.18,-17.94,-10.2
31.40643,23.34,-18.6,-9.78
32.30999,24.9,-15.06,-14.04
33.50284,26.76,-13.92,-14.58
36.12443,30.24,-13.14,-14.76
37.68621,31.74,-12.42,-16.08
42.17065,37.5,-14.76,-12.42
48.05547,43.8,-13.92,-14.04
48.70651,43.26,-16.98,-14.58
52.04632,44.94,-19.92,-17.1
53.54226,43.86,-27.06,-14.52
51.74529,41.1,-24.66,-19.5
45.83532,32.94,-25.44,-19.2
42.77381,31.38,-22.68,-18.18
43.32341,31.74,-20.7,-21
45.58713,36.96,-15.42,-21.78
48.37522,42.6,-11.34,-19.92
53.94043,49.38,-11.58,-18.36
48.53202,43.44,-16.62,-13.86
46.4746,39.36,-20.58,-13.68
48.85286,41.58,-17.4,-18.84
51.5379,43.56,-18.96,-19.98
53.1556,47.76,-11.22,-20.46
53.16603,48.36,-9.42,-19.98
57.38011,53.76,-12.9,-15.36
52.83306,48.96,-13.98,-14.1
51.26546,45.84,-16.32,-16.14
51.42371,44.82,-17.34,-18.3
53.23356,45.3,-19.68,-19.86
53.07331,44.46,-20.94,-20.04
52.51837,43.44,-22.62,-18.96
53.59585,42.36,-27.54,-17.88
55.96653,37.14,-40.68,-9.9
