#magnetic_v,magnetic_x,magnetic_y,magnetic_z
47.07068,31.02,-17.28,-30.9
43.11345,29.34,-24.12,-20.4
44.26609,32.46,-24.6,-17.34
42.67607,30.84,-26.7,-12.54
39.16865,25.14,-28.56,-9.3
37.50163,23.22,-28.02,-9.06
38.15835,22.68,-28.14,-12.24
37.48079,21,-26.52,-16.14
37.11518,17.88,-26.34,-19.08
39.41657,16.98,-26.58,-23.64
39.45711,18.6,-25.14,-24.06
40.94379,18.3,-29.04,-22.32
40.79951,16.86,-29.88,-22.08
39.83774,17.7,-27,-23.34
38.5462,19.14,-26.52,-20.4
36.16711,18.6,-26.34,-16.38
38.32276,18.66,-27.12,-19.62
38.56885,20.22,-25.74,-20.4
39.55861,21.66,-27.78,-18
42.71359,25.32,-30.72,-15.48
46.3746,28.14,-32.1,-18.12
47.24271,26.4,-34.86,-17.88
46.94646,20.76,-37.98,-18.18
46.49164,17.82,-39.96,-15.72
48.17271,19.8,-40.5,-16.98
46.50782,22.74,-36.9,-16.86
43.15068,21,-32.04,-19.86
38.58061,19.08,-28.02,-18.42
37.42581,20.94,-27.84,-13.68
38.68809,20.52,-30.18,-12.84
40.66752,17.52,-34.62,-12.18
42.78256,17.94,-36.9,-12.12
46.15814,19.98,-39.54,-12.96
45.76427,18.18,-40.68,-10.44
42.02892,15.3,-38.22,-8.46
36.65416,11.76,-34.14,-6.3
30.24268,5.64,-28.5,-8.4
27.28292,2.46,-26.58,-5.64
25.93125,1.86,-24.96,-6.78
27.38814,3.72,-23.64,-13.32
29.98866,8.34,-21.42,-19.26
32.56674,12.84,-23.82,-18.12
33.99814,14.04,-24.48,-18.96
33.69041,14.4,-27.06,-13.98
33.78197,17.34,-22.68,-18.06
34.66037,16.08,-25.74,-16.74
36.44287,17.52,-26.88,-17.28
35.7321,19.26,-24.6,-17.34
34.27786,18.96,-25.26,-13.32
35.17157,17.82,-28.38,-10.68
36.1468,21.3,-26.46,-12.36
33.61741,20.1,-24.36,-11.52
33.18109,18.6,-23.1,-14.88
35.15949,20.58,-25.14,-13.44
35.95417,20.52,-27.96,-9.48
33.45725,18.24,-26.22,-9.96
32.93699,15.3,-27.84,-8.7
32.6772,13.5,-26.7,-13.14
31.1068,21.3,-17.94,-13.86
31.18927,19.08,-19.26,-15.42
33.43147,22.14,-18.9,-16.44
36.46761,25.86,-20.16,-15.96
37.87673,27.36,-21.84,-14.46
39.73255,29.04,-24.66,-11.28
46.85155,37.74,-23.88,-14.16
47.13121,35.34,-27.66,-14.4
50.93268,35.04,-35.58,-10.02
53.26378,35.04,-39.12,-8.88
52.24967,32.04,-39.36,-12.42
46.4058,26.34,-35.58,-13.92
41.04022,21.36,-33.72,-9.54
42.11491,24.3,-31.56,-13.68
43.90057,28.5,-29.46,-15.72
45.17988,32.7,-29.46,-10.2
51.68369,41.34,-27.84,-13.68
48.00364,36.42,-29.52,-10.32
46.29691,34.14,-28.62,-12.6
48.62466,32.94,-32.58,-14.76
51.0631,37.08,-31.02,-16.44
50.91487,38.4,-31.62,-10.86
50.67503,39.9,-28.56,-12.66
56.31264,44.4,-32.58,-11.76
52.84682,38.7,-35.58,-5.4
50.56206,36.84,-33.9,-7.08
51.35972,37.68,-33.72,-9
51.11609,34.32,-37.68,-3.9
52.4678,35.64,-37.86,-7.02
52.28455,34.62,-37.68,-10.74
53.51697,33.54,-40.68,-9.18
54.95885,31.68,-44.76,-3.66
